area,type,bed,bath,sqft,price
6,1,3,4,2215,21500000
5,1,3,3,1164,9600000
5,1,3,3,1350,7200000
5,1,3,3,1155,6500000
5,1,3,3,1155,6500000
5,1,3,3,1164,9600000
5,1,3,3,1350,7200000
5,1,3,3,1155,6500000
5,1,3,3,1155,6500000
5,1,3,3,1164,9600000
5,1,3,3,1350,7200000
5,1,3,3,1155,6500000
5,1,3,3,1155,6500000
5,1,3,3,1164,9600000
5,1,3,3,1350,7200000
5,1,3,3,1155,6500000
5,1,3,3,1155,6500000
5,1,3,3,1164,9600000
5,1,3,3,1350,7200000
5,1,3,3,1155,6500000
5,1,3,3,1155,6500000
5,1,3,3,1164,9600000
5,1,3,3,1350,7200000
5,1,3,3,1155,6500000
5,1,3,3,1155,6500000
5,1,3,3,1164,9600000
5,1,3,3,1350,7200000
5,1,3,3,1155,6500000
5,1,3,3,1155,6500000
5,1,3,3,1164,9600000
5,1,3,3,1350,7200000
5,1,3,3,1155,6500000
5,1,3,3,1155,6500000
5,1,3,3,1164,9600000
5,1,3,3,1350,7200000
5,1,3,3,1155,6500000
5,1,3,3,1155,6500000
5,1,3,3,1164,9600000
5,1,3,3,1350,7200000
5,1,3,3,1155,6500000
5,1,3,3,1155,6500000
5,1,3,3,1164,9600000
5,1,3,3,1350,7200000
5,1,3,3,1155,6500000
5,1,3,3,1155,6500000
5,1,3,3,1164,9600000
5,1,3,3,1350,7200000
5,1,3,3,1155,6500000
5,1,3,3,1155,6500000
5,1,3,3,1164,9600000
5,1,3,3,1350,7200000
5,1,3,3,1155,6500000
5,1,3,3,1155,6500000
5,1,3,3,1164,9600000
5,1,3,3,1350,7200000
5,1,3,3,1155,6500000
5,1,3,3,1155,6500000
5,1,3,3,1164,9600000
5,1,3,3,1350,7200000
5,1,3,3,1155,6500000
5,1,3,3,1155,6500000
5,1,3,3,1164,9600000
5,1,3,3,1350,7200000
5,1,3,3,1155,6500000
5,1,3,3,1155,6500000
5,1,3,3,1164,9600000
5,1,3,3,1350,7200000
5,1,3,3,1155,6500000
5,1,3,3,1155,6500000
5,1,2,2,1164,9600000
5,1,3,3,1350,7200000
5,1,1,1,1155,6500000
5,1,3,3,1155,6500000
5,1,1,3,1164,9600000
5,1,3,3,1350,7200000
5,1,3,3,1155,6500000
5,1,2,1,1155,6500000
5,1,3,2,1164,9600000
5,1,3,3,1350,7200000
5,1,2,3,1155,6500000
5,1,3,3,1155,6500000
6,1,4,3,1735,13800000
6,1,3,3,1499,11300000
4,1,3,3,1250,11000000
3,1,3,3,1400,8200000
4,1,4,4,2015,39000000
3,1,3,3,1850,22200000
2,1,3,3,1499,11300000
1,1,3,3,1055,7000000
